1,"July 23, 2018"," I,m face one big problem in this apps,please add the delete option,if 
sentence are not useful or wrong edit,then also save in the list. If add 
the delete option,so un useful sentence are deleted ."
4,"March 26, 2018", Fantastic app saves lot of battery low on memory and resources and still fast and you can make calls as well that's bonus love this app?
5,"July 2, 2018", Love it
5,"June 7, 2018", Awesome
5,"June 23, 2018", A game to learn mathematics
1,"May 13, 2018", Loads of ads and crashes before you can use but not during ads. Trash
3,"July 2, 2018", I no nothing about this app
5,"May 22, 2018", Beautiful app.... Download fast.....
5,"May 31, 2018", Been using this app forever lol I love it
5,"May 26, 2017", Very good pro
5,"February 1, 2018", Love it
5,"July 14, 2018"," This app helps me get all lot of things done and provide my loved ones with 
personalised cards on special events"
5,"June 11, 2018"," Best editing app out there and I have used them all. It's a one stop shop 
that covers all your needs. Only problem I have is that it doesn't edit 
video! Where is that app guys?"
5,"July 2, 2017", Waste of time and mind
5,"June 22, 2018"," FINALLY!!!!! Been waiting YEARS to send messages from my PC without having 
to have another show clunky third party app to worry about. So easy to set 
up and use, I love it. Wish the phone app had a dark theme like the web app 
though. But it's still great!"
4,"March 18, 2018", Good
5,"June 30, 2017", Love this game its amazing and theirs nothing else to say
2,"April 3, 2018", Nice app
5,"July 14, 2018", Love love love it!
5,"June 4, 2018"," I love this app it's filters, stickers,and grids are amazing highly recomend"
2,"July 19, 2018"," So now Meddanger freezes up my phone because I won't give permission for 
them to run data in the background."
5,"April 5, 2018", 1st use it. then u can understand what it is. Language is short to explain about this app.....
1,"May 22, 2016",It stopped or close by itself Yesterday was smooth. Today can't play more than 10 seconds.
5,"April 7, 2018", I LOVE THIS APP. ITS BETTER THAN PHOTO SHOP HANDS DOWN
5,"June 17, 2018"," Offers Great functionality/filters/effects, great photo editing tool"
3,"May 26, 2018", Just started using this app. I like it so far
5,"June 18, 2018", It's nice coz have got my privacy
3,"July 23, 2018"," I liked the app prior to the recent update. Now it feels more like facebook 
messenger and i honestly get confused between the two until i open a text 
message. On the other hand i can pretty much read a text without ""reading 
it"" now :D"
5,"January 13, 2018", This game is the best gotta download it and have lots of fun like I do...
5,"January 3, 2015",entertaining AweSome. Keep me busy when I'm offline
5,"June 20, 2018", A lot of great effects! Always adding something new!
5,"May 27, 2018"," I love this app ... so easy to use, and so many choices to pick from"
5,"November 9, 2017", Nice
4,"July 21, 2015",Alright Ads keep popping up every time you win. Please fix that.
1,"June 17, 2018", Doesn't work well enough with Google photos
1,"September 8, 2017", Could not upload photos in messenger. Uninstalled
1,"July 21, 2018"," I'm always having trouble with my messages coming in my friends that are 
receiving the message can see my message but can't see there's. Then I'm 
having to reinstall the app again to see if any things changed sometimes it 
works sometimes it doesn't"
5,"August 23, 2016", It really works
5,"July 8, 2018", Great
1,"June 26, 2017", Doesnt work i just wasted my time
5,"June 18, 2018", I like it
5,"May 23, 2018", I gu
4,"June 3, 2018"," Used to love it...quality of photo inside collages decreased recently 
almost pixlated. Also backgrounds I have paid for have disappeared and 
cannot be restored (same phone so not able to blame the ridiculous android 
to iPhone excuse)"
5,"July 25, 2018"," Five star for you guys, this is my first time to have review. I really like 
the emojis now. 5Star!"
5,"April 19, 2018", I love u
3,"January 8, 2018"," Like that it doesn't take up too much space. I can make outgoing video and phone calls, but I can't receive them."
5,"April 3, 2017", An excellent app
1,"June 9, 2018", It won't let me or my child log in. Keeps saying unauthorized
5,"April 29, 2014",So additive! The best and challenging by far.  Awesome!
5,"April 20, 2018", Awesome editor. Don't need any Photoshop after using this for so many times
3,"July 19, 2018"," This app is a wonderful app, but I always have to worry if my text got 
through by me texting from the notification box. Most likely I'm always in 
another app so I always text from the box that pops up and almost everytime 
I wait for a response and I go and see the text never went through and if 
...Full ReviewThis app is a wonderful app, but I always have to worry if my text got 
through by me texting from the notification box. Most likely I'm always in 
another app so I always text from the box that pops up and almost everytime 
I wait for a response and I go and see the text never went through and if 
it didn't go through then it's still loading of they can fix that bug then 
it will be perfect."
5,"July 12, 2018", Nice application
4,"December 12, 2017", This is an amazing game.i love it
1,"June 17, 2018"," I tried to do a collage and the screen went black. How does this have 4.6 
stars if it doesn't even work"
5,"September 17, 2016",Awsome app Plz give me some minuts
5,"February 4, 2018"," if you want to make it more popular try to remove ads. when your product will be used more you will gain benefit from it ads always cause trouble for users. try to gain benefits from Donations,   I am giving you 5 stars for your quick response and asking for feedback"
5,"July 11, 2018", I love the app
1,"June 28, 2018"," I loved this app. Still do. But with the new Messages for Web, it doesn't 
work. :( ""Pairing error."" QR code won't appear."
5,"May 2, 2018", This game is amazing
5,"April 4, 2016", I pranked everyone even the nany hahhahabaha
1,"June 9, 2018"," It worked the first time I logged my son in, but now it continously stars 
that something went wrong during authorization. Tried it on different 
devices and no way to fix."
2,"December 8, 2017",Not so good Not so good
5,"January 21, 2017", This app works greatly
5,"March 9, 2018"," Smartest app ever wish I thought of it, A must have app for collecting debts!!!!an 11 on a 1-10 scale .....just push a button an call from anywhere you want Awesome!! Thank you!!"
5,"September 11, 2017", Great :)
1,"July 11, 2018", Its ok!
3,"July 24, 2018"," Please give the update for bug fixes. As I have deleted the messages they 
are appearing again. And not able to delete the unwanted messages. Please 
do the needful at the earliest"
5,"October 13, 2017", Best app in making u up
2,"July 22, 2018"," It crashes when you open the app from the notification area in the status 
bar. Im experiencing this for more than a month now. Kindly try to fix it. 
Im using nokia 7 plus."
5,"June 1, 2018", Very easy make a wonderful pic collage thank you
4,"June 21, 2018"," (Messages for Web) is still not available on many phones. I'm using a Pixel 2. I've tried reinstalling the app, but to no avail. I've spent so much time trying to get your app to work that I feel like Google should be paying me. Lame."
4,"January 8, 2016",So far so good! Only had it installed 24 hours...made a few calls...it works!         Pretty cool app
5,"June 29, 2018", Love it! Easy to use and really nice options on the free version.
4,"November 7, 2014",SivaSai Sagar I am extremely interested in this game.. Thanks 4r providing
2,"July 21, 2018", Thanks for ruining it! Getting add notifications like there's no tomorrow!
5,"June 1, 2018"," I love the variety of filters, effects and especially the classy simple 
frames!"
5,"July 2, 2018", Facific
3,"June 26, 2018"," Using the web messaging will work for a bit then says it's not connected to 
my phone. I have to go through several steps to get it work properly. I'm 
sure it's just a bug and will get resolved, but wanted it know. I have used 
safari and chrome on Mac. Will try a Windows machine at some point."
1,"July 25, 2018", Fix the problems you flogs have created when creating the last update
5,"November 10, 2015",Cool app Love it comes in handy just don't like how you only get 2mins free and have to BUY the rest! Smfh
5,"July 11, 2018"," Love the constant feature additions and overall cleanliness of this app, 
especially compatability with OS Wear. My only real gripe is most likely 
something to do with my phone, but often I don't get notifications, leading 
me to get messages and not seeing them way after receiving them. 
Regardles...Full ReviewLove the constant feature additions and overall cleanliness of this app, 
especially compatability with OS Wear. My only real gripe is most likely 
something to do with my phone, but often I don't get notifications, leading 
me to get messages and not seeing them way after receiving them. 
Regardless, insanely smooth and seamless messaging app that seems to 
replace every standard one, regardless of the phone i get."
4,"January 22, 2017", Buy credit no balance nice
1,"January 24, 2017", Vestige of Money vestige of Money wastage of money I have purchase credits for 3 x but I didn't get any credit credit in my account I have spent money also invest on waste is over sabse bada such a bad application do not download this I recommend you also you invest your money and you will not get a...Full ReviewVestige of Money vestige of Money wastage of money I have purchase credits for 3 x but I didn't get any credit credit in my account I have spent money also invest on waste is over sabse bada such a bad application do not download this I recommend you also you invest your money and you will not get anything search about that
4,"May 29, 2018", Its okay
5,"April 5, 2018", Osm
2,"June 5, 2018"," app used to always work great now it seems the country code is wrong or 
something as it still works for landlines just not mobile numbers. can you 
fix?"
5,"July 13, 2018"," It's a really wonderful game. Works perfectly. Teaches strategy and it's 
also addictive."
4,"December 30, 2016",Very good app Osam
5,"July 17, 2018", It's a god way of my time
2,"June 30, 2018"," The app is great but not being able to use it on Microsoft edge is 
annoying. Chrome drains is too ram hungry to have running on my PC."
1,"May 8, 2017", Complete Garbage
5,"April 11, 2016", Love this game can't stop playing!!
5,"March 27, 2018"," This is an app that has great tools and add ons for free, constantly updating with new effects, beautiful filters.."
5,"November 6, 2017", This app helped me catch a lowlife cheating EX-boyfriend. Thank you!! Saved my life!
4,"January 29, 2017", Like it but I think you should get more minutes
5,"July 11, 2018", Its so perfect! It makes photos look beautiful and its easy to use!
4,"July 9, 2018"," Nice interface, assigning colours to contacts is handy. Compresses images 
too much in MMS and they look rubbish. Group message is garbage and 
basically doesn't work."
5,"April 22, 2018", Nice
1,"July 14, 2017", Not use it coZ advt more than
3,"August 17, 2017"," Having issues opening in Webview, still overheats my phone due to memory bloat but more manageable... Help?"
2,"May 26, 2014",Bug I have been playing this game for 2 days. I made a tile of 16384 and was working on making another 16384 to join them.  But out of no where 65536 pops up. Surely a bug somewhere.
1,"February 17, 2017", Waste app
4,"June 3, 2018", Its ok
4,"June 30, 2014",Great time waster! Great way to keep on playing the same game on. However there is a problem - control is so sensetive that having a finger too close to the screen when thinking causes a move. It's not fun when this happens and you have 32k blocks on there board.
5,"February 5, 2018", i love dis
4,"March 16, 2018", FUN WAY TO PASS  TIME..TRY A GAME!
5,"May 3, 2018", Good app but plz tell ma how can I share my music show ????
4,"July 1, 2018"," I would like it if there was more of a sticker choice for people who don't 
want to use money Also I would have liked if you could add more templates 
and also in the pictures above that show you what the app is like it says 
you can draw to cut things out but there is not an option to do that and i...Full ReviewI would like it if there was more of a sticker choice for people who don't 
want to use money Also I would have liked if you could add more templates 
and also in the pictures above that show you what the app is like it says 
you can draw to cut things out but there is not an option to do that and if 
there is it isn't clear at all but apart from that it definitely makes 
great profile pics for WhatsApp."
5,"October 6, 2015",Cool Love it
5,"July 15, 2018", Its simple n user friendly
5,"May 22, 2018"," Usually i won't give review and 5 star!! But after going through all 
Android apps...i come to know for little enhanced edit process Lightroom is 
Best...if u want edit ur pics lik masters make a good edit in Lightroom 
than use for external work...this brings u lot of toools where Photoshop is 
uti...Full ReviewUsually i won't give review and 5 star!! But after going through all 
Android apps...i come to know for little enhanced edit process Lightroom is 
Best...if u want edit ur pics lik masters make a good edit in Lightroom 
than use for external work...this brings u lot of toools where Photoshop is 
utilized completely!!!!"
5,"July 4, 2018"," Loved it, used it for years"
5,"April 23, 2017", The Best App Ever!!!
4,"July 1, 2018"," Good app, I lots of features and handy photo creation."
4,"July 21, 2017", I really like the app so far work fast but only isuue when you launch app always messaging page comes why not news feed? Which is annoying me please fix
5,"August 13, 2017", I like it very much
5,"July 15, 2018", very good
1,"November 16, 2017"," Keeps dropping the call right in middle of the phone call...it connects, your on the call, then it drops. This has happened 4 times in the last week. Fix this pls?!"
4,"July 12, 2018"," It's a solid app. Unfortunately my group messaging is still lacking. So I 
get individual texts. I also wish you could pick the color specific for 
each person. That would be cool."
5,"May 27, 2018"," Does what its suppose to do, easy to use and works great!"
5,"July 22, 2018"," Plz download dis other games das nat meyk sences but this is a good app you 
can call people chat people and play games here"
5,"August 1, 2014",Ok Awesome
5,"May 12, 2018", Fantastic aap
4,"January 7, 2018", It is a good app!!!!
5,"May 26, 2018", Aaaaammmmaaaaaazing
1,"February 23, 2018", Can't send gifs or use the stickers other then that I like this app
5,"December 11, 2017", Good time killer and addictive game
5,"June 13, 2018", good
3,"July 3, 2018"," I adore this app! However the last few weeks it just keeps showing a 
loading symbol every time I try to crop or edit picture so it means it's 
completely in useable :( please please fix this glitch!! Thanks"
1,"May 31, 2018", GGood
4,"July 8, 2018"," The app seemed to crash a lot in the beginning use. It has gotten a lot 
better though. One feature that I really use and miss is being able to 
write and schedule texts to be the delivered in the future."
5,"February 24, 2016","Passes the time Love, love, love 2048!!"
5,"July 14, 2018", Great photo editor. Best i've found so far.
5,"November 10, 2017", Good game
4,"July 23, 2018"," why i can't see pictures now, its because of updates ?"
3,"June 29, 2018"," Recently, facebook always play an annoying bubble sound whenever I press 
the like button. I have tried everything to stop it, but none of anything 
worked. I found that this situation also appeared in the mobile web page of 
facebook. How can I fix this? edit: Good to see that sound is turned off i...Full ReviewRecently, facebook always play an annoying bubble sound whenever I press 
the like button. I have tried everything to stop it, but none of anything 
worked. I found that this situation also appeared in the mobile web page of 
facebook. How can I fix this? edit: Good to see that sound is turned off in 
default, but "" long tap to open the link.."" function is broken. Please fix 
it."
3,"July 2, 2018"," Dont like the fact that I cant approve of what he is sending out for videos 
first at least. It should at least send me a notification I think."
5,"June 27, 2018"," Best messaging app to date.. Have tried textra. Google... And all other 
apps over the years. This is the best one hands down"
2,"July 25, 2018", It automatically freezes and crashes. Needs to be restarted.
5,"January 31, 2015","Beat this & a great game Awesome game and I got 8,192 and a score of 109,000           8 )"
2,"July 20, 2018"," connectivity issue.. i can't seem to send and receive messages.. by the 
way, i am connected since my other social media accounts are iworking."
5,"February 8, 2017", great app !!
1,"August 3, 2017", I did that because it will not call.
5,"May 24, 2018", I think ok
4,"July 19, 2018"," Its cool and all, but the app itself should have a logout feature instead 
of just switching to another account or going to my phone's setting and 
clearing data."
5,"January 21, 2018", Wow awesome app it's the best you should try it you wouldn't regret it
5,"May 31, 2018"," I love this app it is way Easter than printing a boring photo and you can 
have backgrounds stickers and more"
5,"April 3, 2016", I trick my parents that is could call
5,"May 11, 2018", Very Nice app
4,"June 25, 2018"," FINALLY Web Texting! I tried Mighty Text, which was great but expensive and Pulse SMS, which was way cheaper but not as good. I'm glad Google FINALLY got web messaging included (free) as part of the app. Works fine - no complaints for a free and functioning app."
5,"May 19, 2018", I think this app is awesome
2,"July 24, 2018", Crashing the app. Always white not even moving. Pls fix ASAP
5,"July 22, 2017", Fab! Does what says on the tin very well... My phone loves it... Getting rid of the FB app and messenger was fantastic !!
1,"July 19, 2018"," Texts never send. I always get ""Not sent. Tap to try again"" every time I 
try to send a text. I don't know what the hype is all about. The stock 
texting app is way better im switching back to it."
1,"March 23, 2017", Mada ame bagaladu
1,"July 22, 2017", fake hai sb
1,"December 30, 2017", Its bad
5,"September 9, 2017"," Have used it for years, love it!"
3,"July 22, 2018"," This app is terrible now. You can't even add people into a group call while 
your on video call wit another person unless you make a group chat. It has 
been doing that for the last couple od updates and needs to be restored on 
this app."
4,"April 5, 2018", It is too good.
5,"May 25, 2018", Best
4,"July 12, 2014"," Loved this app until now - all of a sudden there are adds coming up at the bottom that cover the bottom of the board making it very hard to play. Don't know why it's all of a sudden, I've had the app for a week or two."
5,"April 3, 2017"," This app gives 2048 a bigger, funner,  challenge."
5,"June 15, 2018", Super
5,"April 4, 2016",Good app Very good app.very useful for every user
5,"May 22, 2018", I love it! I use it all the time and its amazing!
5,"April 18, 2018", Really I like it
3,"July 25, 2018", Why this is not updated..
5,"June 11, 2018", Love this app
5,"September 10, 2016", +1
5,"June 9, 2018", Awesome app
5,"October 21, 2017", It takes less space than the Facebook & messenger. It does what I need while saving room for other apps
4,"April 30, 2018", Suits this internet granny.
5,"May 26, 2018", It's Mind blowing
5,"April 6, 2016", LOVE IT SOOO COOL
1,"March 7, 2017", Bakwas
4,"November 28, 2017", Beautiful....Pic .. makar
5,"July 22, 2018"," It is bst ....the bst thing about this app is u can use the chat heads opnt 
and do another wrk in yur phn while using it"
5,"July 4, 2018", Great
5,"April 1, 2017", Just thank you
4,"April 17, 2018", Good game to pass some time..
5,"June 18, 2018", Good
5,"November 10, 2017", I love this app
4,"June 24, 2018"," Hello Google Developers, I just started using this app and I'm beginning to 
really like it. I have one issue and I think it might be an easy fix. I was 
wondering if you could swipe to delete and swipe to archive or whatever 
your preference may be. I believe as of now you can only archive... To ha...Full ReviewHello Google Developers, I just started using this app and I'm beginning to 
really like it. I have one issue and I think it might be an easy fix. I was 
wondering if you could swipe to delete and swipe to archive or whatever 
your preference may be. I believe as of now you can only archive... To have 
swipe to delete would be great. Thank you if you read this I appreciate it"
5,"July 10, 2018", Vary nic app
3,"February 17, 2017", 1. App dos work but you need mins it gives you two free just enought to test it.  I have not boughten mins yeat to tell you how it works. You can earn free mins but you will get lot spam and told you just doing a survey but get redirrect to a website where you have to buy crap. And I get ten spam em...Full Review1. App dos work but you need mins it gives you two free just enought to test it.  I have not boughten mins yeat to tell you how it works. You can earn free mins but you will get lot spam and told you just doing a survey but get redirrect to a website where you have to buy crap. And I get ten spam emails now a minent. Also the survey only gave me 6 free mins one time of tbe 10 free survays I did.  The movies give 2 to 28 seconds mostly 2 and use lot of data. Parbly cheeper to just buy the mins.
5,"June 24, 2018", Great app give us more
3,"April 7, 2018"," New bug when someone shares a post to you via private message, it shows up as blank in this app, but appears fine in the real messenger app and on the desktop site"
2,"July 5, 2018"," This is the stock messaging app on a Moto G6 with factory Oreo install and 
it's does not display photos sent as MMS. This us the same behavior that 
was exhibited on my former Moto X running Nougat. Installed a competing app 
and it displays the missing attachments automatically from the device's 
...Full ReviewThis is the stock messaging app on a Moto G6 with factory Oreo install and 
it's does not display photos sent as MMS. This us the same behavior that 
was exhibited on my former Moto X running Nougat. Installed a competing app 
and it displays the missing attachments automatically from the device's 
SMS/MMS database. Looks pretty, but, I don't recommend."
5,"December 4, 2017", Best
5,"July 14, 2018"," I love the graphics with this app & how easy it is to change the pic if you 
decide to change your mind after preview."
4,"July 29, 2016", A 10 sec call drops me a minute. It seems each call no matter how long will lead you to lose a minute or more. Can you show the exact amount of minutes and seconds left please.
3,"February 3, 2016", I've been constantly having issues with earning minutes... please fix this and I'll  rate a five.
5,"April 3, 2018", Great app.
5,"November 14, 2016", Fun
3,"March 31, 2018", I liked this app the best until i tried to send and receive pictures. Its the only text app that wont do it. I have to uninstall
5,"March 31, 2018", I love it and it's really useful.
5,"June 6, 2018", Its awesome I recommend it
4,"June 27, 2017", Its great
5,"June 4, 2018", Easy and fun!
5,"June 1, 2018", Best app........
5,"October 14, 2017", I works great and they make it easy to earn more minutes fast
5,"November 6, 2015",Hilarious I keep calling my brother with his probation officers number and hes freaking out!
5,"July 10, 2018"," This is not the apps fault but I forgot to sign in on my old account and I 
had to factory reset my tablet so I lost everything...... But I love this 
app sm and I'm glad I downloaded it again xoxo,KeeleyMarie"
5,"June 24, 2014",Fun! I'm just going for the biggest tile I can get
4,"June 5, 2016","Easy to use Great app, but i need calling screen for asus zenfone 5..."
5,"June 6, 2018", Great app
1,"April 13, 2017", This app sucks I'm not buying minutes when the other apps don't charge nothing .Y'all fools buying minutes that should be free.Useless app
1,"March 16, 2018", Waste
5,"July 25, 2018", Very nice app
4,"July 6, 2018", Always come back to it
5,"April 3, 2016",Awesum I love it it is fun and awesome :)
2,"July 23, 2018"," I'd love to make sure i can stop it from interacting with other apps 
without my permission when i want to share a MMS i want it through my phone 
service not Google photos uploading without my permission and sharing 
through That when i hit send a newly added feature i didn't agree or setup 
to do....Full ReviewI'd love to make sure i can stop it from interacting with other apps 
without my permission when i want to share a MMS i want it through my phone 
service not Google photos uploading without my permission and sharing 
through That when i hit send a newly added feature i didn't agree or setup 
to do. Even worse new options to sync to pc ""without permission or settings 
to say no so is it going to snoop and upload my texts to Google? also 
didn't agree too."
5,"June 30, 2018", Its nice app
5,"June 2, 2018", Love it
5,"May 16, 2014",I love it This app were really good. I luv it
5,"June 12, 2018", Good game
5,"July 12, 2018"," Pic collage is great!! I use it a lot for my posts, a new theme or even my 
wallpaper backgrounds!"
1,"December 20, 2014",Won't open! Every time I try to play it won't open. Why download if u can't play!??
5,"July 4, 2018", Very nice ap
4,"November 1, 2017", Awesome!
1,"August 29, 2017", This app is damn slow man...it takes lots of time in loading so this app is not a good choice...very bad
5,"July 7, 2018", Love it
4,"June 11, 2018"," No chat heads, gifs, message reactions, and games but I can live without 
those. Small and sleak. I like it."
5,"May 10, 2018", The bomb
5,"September 20, 2017"," So far this is just as good, if not better then the actual facebook app itself. And soooo much smaller then the original app. Cant see myself switching back...."
3,"June 16, 2017", It's bad but good idea you have to download apps fur mute
5,"April 20, 2018", epic
5,"July 19, 2014",No permissions! Well done.
5,"July 19, 2018"," Please bring back the ""create shortcut to conversation"" feature!! I use 
messenger as my main messaging app and video chatting app. Perfect for 
group messages. The stickers are all very fun and creative. Phone calls are 
very clear."
5,"May 24, 2018"," I love it very much...! But I have request that please make a new update 
with adding jpg format pictures that I'm running a photo studio name 
""oeuvre"",so I need to add logo..! Plse make this update"
4,"May 20, 2014",Good I love the score how u can build it up
4,"July 7, 2018", Brill!
5,"October 8, 2017", Seems fast and good
5,"May 12, 2018", Really a wonderful app Just one thing open more options in share app choice
5,"August 14, 2016", Best app
5,"February 20, 2017", Job done I really like it
5,"March 16, 2018", brilliant
5,"June 11, 2017", I  have never seen like this photo editor
4,"October 16, 2016", Bhai apps badi mast hai
5,"June 23, 2018"," It is really good for editing pictures but you should add a video collage 
like a slideshow of pictures."
5,"June 3, 2018"," I love it! Iuse it for my business to add text to my photos, it's so easy!"
1,"August 9, 2017", I have 4 minutes in my acct but keep getting error message telling me to contact customer service as account could not be validated
5,"March 27, 2018", I love it
5,"May 10, 2014",Super This game is my favourite now.
5,"July 25, 2018"," This app is a total violation of your privacy. Everyone on your friends 
list can see when you are active, and you can't turn this feature off. This 
is beyond irritating. Two stars ONLY because the games feature is fun, also 
the only reason I haven't deleted this app."
5,"August 24, 2017", I can't use nothing else now after using this
5,"October 18, 2016",Dayeem That shite is soooo sick blood
5,"November 29, 2017", Love it
5,"November 2, 2017", Thanks for your app
1,"April 18, 2017", Fake app
4,"November 14, 2017", All my devices
1,"November 10, 2015", poor game when compared to the earlier version...difficulty level is almost nil...I m playing the just 1 game since 3 days...disappointing
5,"October 23, 2015", Excellent
1,"December 29, 2014","Too easy In this version it is almost impossible to lose. I played one game on and off for 2 days, probably about 3 hours of game time and finally just lost on purpose."
5,"October 24, 2015",I just love it I don't know what the hell they did but this app is magic really nice work.. It will be better if you change the interface
5,"March 17, 2018", Better
5,"May 6, 2018", Its perfect and working well.
5,"May 10, 2014",Amazing Both in game and theory. This app teaches us how to think outside of the box in a fun and creative way. This is one addicting game I will not be giving up on or deleting anytime soon!
5,"June 10, 2018", Awesome app
5,"October 3, 2014",Great But i have a problem on android 4.2.2 two days ago it stopped working i tried reinstalling it but it didn't help. What is the problem?
1,"July 12, 2018", always crash.....
2,"July 26, 2017",Fake call I love it
5,"May 1, 2018", Its awesome...
1,"November 3, 2016",Always Stops Working This app never works right and always stops when I'm in the midst of a call. I dealt with tech support and they told me uninstall and reinstall the app and that should fix it. Wrong!
5,"November 5, 2017", I like the ability to be creative with my photos! Love the app!
5,"July 4, 2018"," I would like for the RCS feature/chat, to be come available on my Galaxy s8 
plus on T-Mobile. Please make it happen sooner! Awesome Job Google keep up 
the fantastic work."
1,"July 17, 2018"," On regular message apps you can group delete old messages from a contact 
leaving current messages. This apps stupidly forces all messages from a 
user to be deleted at once or delete them one by one. Wow. Ever try 
deleting 37 messages one by one because you don't want the most recent ones 
gone. V...Full ReviewOn regular message apps you can group delete old messages from a contact 
leaving current messages. This apps stupidly forces all messages from a 
user to be deleted at once or delete them one by one. Wow. Ever try 
deleting 37 messages one by one because you don't want the most recent ones 
gone. Very poor design."
3,"May 18, 2018", That's well
3,"June 21, 2018"," It gets the job done but I wish they would spend less time on Smart Reply 
and PC Texting and add some of the basic features other apps have. Features 
like searching messages, dark mode, having notification disappear after I 
reply, and importing and exporting messages are all things I've had on 
o...Full ReviewIt gets the job done but I wish they would spend less time on Smart Reply 
and PC Texting and add some of the basic features other apps have. Features 
like searching messages, dark mode, having notification disappear after I 
reply, and importing and exporting messages are all things I've had on 
older messaging apps that I think Google is perfectly capable of adding."
5,"May 5, 2018", Veryyy good
4,"June 16, 2017", Great game.. addicted
3,"April 8, 2018", Super
2,"July 4, 2018"," It won't let me send nor receive pics, or send longer texts. I keep having 
adds pop up also."
5,"May 12, 2018", Great app!
5,"April 11, 2018"," It is in my opinion the easiest and most powerful to use. I have used many 
apps to when started using them they not apps but applications. Clouds were 
servers. My dad might have made dirt but i made digits. This app took a 
digital dork and made me a artiste"
5,"May 6, 2018", Amazing
5,"June 29, 2017", Love this app too good
5,"April 27, 2018", SAJID
4,"March 14, 2018", Nice app
5,"April 6, 2016",Excellent Very helpful thanks
4,"May 8, 2018"," I loved this app, but lately the 'markers' in PicFrames don't work anymore 
- and that was one of my favorite features..."
